sentence_id,word - id,word - ref,word - form,word - head,word - relation,word - lemma,word - postag,Didakta tags,Primary translation,Literal translation,Secondary translation,,word - gloss,word - sem,word - artificial,word - insertion_id
4,3,Leuven|0059-003|4|3,;,0,AuxK,;,u--------,,,,,,1: ,,,
4,4,Leuven|0059-003|4|4,[0],0,PRED,,,,,,,,,,elliptic,0003e
5,1,Leuven|0059-003|5|1,ὄρθρος,4,SBJ,ὄρθρος,n-s---mn-,,پیش از سپیده سحر,هنگام سپیده دم,اندکی تا طلوع,,"the time just before or about daybreak, dawn, cock-crow",,,
5,2,Leuven|0059-003|5|2,βαθύς,1,ATR,βαθύς,a-s---mn-,,پیش از سپیده سحر,هنگام سپیده دم,اندکی تا طلوع,,deep or high,,,
5,3,Leuven|0059-003|5|3,.,0,AuxK,.,u--------,,,,,,1: ,,,
5,4,Leuven|0059-003|5|4,[0],0,PRED,,,,,,,,,,elliptic,0003e
6,1,Leuven|0059-003|6|1,θαυμάζω,0,PRED,θαυμάζω,v1spia---,,تعجب می‌کنم,در عجبم,در شگفتم ,,"wonder, marvel",,,
6,2,Leuven|0059-003|6|2,ὅπως,1,AuxC,ὅπως,c--------,,چگونه,چگونه ,چگونه,,"1: opdat, om... te",,,
6,3,Leuven|0059-003|6|3,ἠθέλησέ,2,OBJ,ἐθέλω,v3saia---,,اذن ورود داد,راضی به شد, مایل گشت,,1: willen,,,
6,4,Leuven|0059-003|6|4,σοι,9,OBJ,σύ,p2s---cd-,,به تو,برای تو,به تو,,"1: jij, u",,,
6,5,Leuven|0059-003|6|5,ὁ,8,ATR,ὁ,l-s---mn-,,,,,,1: ,,,
6,6,Leuven|0059-003|6|6,τοῦ,7,ATR,ὁ,l-s---ng-,,,,,,1: ,,,
6,7,Leuven|0059-003|6|7,δεσμωτηρίου,8,ATR,δεσμωτήριον,n-s---ng-,,زندان,زندان,زندان,,prison,patiens,,
6,8,Leuven|0059-003|6|8,φύλαξ,3,SBJ,φύλαξ,n-s---mn-,,نگهبان,نگهبان,نگهبان,,"watcher, guard, sentinel",,,
6,9,Leuven|0059-003|6|9,ὑπακοῦσαι,3,OBJ,ὑπακούω,v--ana---,,اذن ورود داد,گشودنِ در,پذیرفتن,,"hearken, give ear",,,
6,10,Leuven|0059-003|6|10,.,0,AuxK,.,u--------,,,,,,1: ,,,
7,1,Leuven|0059-003|7|1,συνήθης,4,PNOM,συνήθης,a-s---mn-,,آشنا,آشنا,عادت کرده ,,"dwelling or living together, accustomed",,,
7,2,Leuven|0059-003|7|2,ἤδη,4,ADV,ἤδη,d--------,,از پیش,دیگر,دیگر,,"1: reeds, al | vanaf nu",,,
7,3,Leuven|0059-003|7|3,μοί,1,ADV,ἐγώ,p1s---cd-,,با من,با من,به من,,1: ik,,,
7,4,Leuven|0059-003|7|4,ἐστιν,15,PRED_CO,εἰμί,v3spia---,,است,است,است,,1: gaan,,,
7,5,Leuven|0059-003|7|5,",",0,AuxX,",",u--------,,,,,,1: ,,,
7,6,Leuven|0059-003|7|6,ὦ,7,AuxZ,ὦ,i--------,,ای ,ای ,ای ,,1: (blijft onvertaald),,,
7,7,Leuven|0059-003|7|7,Σώκρατες,15,ExD,Σωκράτης,n-s---mv-,,سقراط,سقراط,سقراط,,,,,
7,8,Leuven|0059-003|7|8,",",0,AuxX,",",u--------,,,,,,1: ,,,
7,9,Leuven|0059-003|7|9,διὰ,4,AuxP,διά,r--------,,چرا که ,به خاطرِ,به دلیل,,"1: met de hulp van, wegens | doorheen, door | door middel van; via",,,
7,10,Leuven|0059-003|7|10,τὸ,13,ATR,ὁ,l-s---na-,,,رفت و آمد ,تردد,,1: ,,,
7,11,Leuven|0059-003|7|11,πολλάκις,13,ADV,πολλάκις,d--------,,اغلب,بسیار,مکرر,,1: dikwijls,,,
7,12,Leuven|0059-003|7|12,δεῦρο,13,ADV,δεῦρο,d--------,,به اینجا,بدین جا,به اینجا,,1: hierheen | tot nog toe,,,
7,13,Leuven|0059-003|7|13,φοιτᾶν,9,ADV,φοιτάω,v--pna---,,می آیم,رفت و آمد ,تردد,,"go to and fro, backwards and forwards",oorzaak/reden,,
7,14,Leuven|0059-003|7|14,",",0,AuxX,",",u--------,,,,,,1: ,,,
7,15,Leuven|0059-003|7|15,καί,0,COORD,καί,b--------,, به علاوه,و ,وانگهی  ,,"1: en | ook, zelfs",,,
7,16,Leuven|0059-003|7|16,τι,18,SBJ,τις,p-s---nn-,,به او لطفی کرده‌ام,چیزی,نفعی,,"1: wie?, welke?",,,
7,17,Leuven|0059-003|7|17,καὶ,18,AuxZ,καί,b--------,, به علاوه,نیز,نیز,,"1: en | ook, zelfs",,,
7,18,Leuven|0059-003|7|18,εὐεργέτηται,15,PRED_CO,εὐεργετέω,v3srie---,,به او لطفی کرده‌ام,به سود برده است,به او نفعی رسیده است,,to be a benefactor,,,
7,19,Leuven|0059-003|7|19,ὑπ’,18,AuxP,ὑπό,r--------,,به او لطفی کرده‌ام,از قِبل,از,,"1: onder; onder invloed van, door toedoen van | onder, in de macht van | tot onder",,,
7,20,Leuven|0059-003|7|20,ἐμοῦ,19,OBJ,ἐγώ,p1s---cg-,,به او لطفی کرده‌ام,من,من,,1: ik,agens,,
7,21,Leuven|0059-003|7|21,.,0,AuxK,.,u--------,,,,,,1: ,,,
8,1,Leuven|0059-003|8|1,ἄρτι,3,ADV,ἄρτι,d--------,,هم اکنون,اینک  ,همین حالا,,"just, exactly",,,
8,2,Leuven|0059-003|8|2,δὲ,4,AuxY,δέ,d--------,,آمدی,رسیده‌ای,رسیده‌ای,,"1: en, echter (leidt een tegenstelling of een verbinding in, blijft vaak onvertaald)",,,
8,3,Leuven|0059-003|8|3,ἥκεις,4,PRED_CO,ἥκω,v2spia---,,یا,یا,یا,,1: gekomen zijn,,,
8,4,Leuven|0059-003|8|4,ἢ,0,COORD,ἤ,c--------,,خیلی وقت,یا پیشتر,دیرگاهی,,1: zeker | werkelijk (partikel in een directe vraag),,,
8,5,Leuven|0059-003|8|5,πάλαι,7,ADV,πάλαι,d--------,,,,,,"1: vroeger, lang geleden",,,
8,6,Leuven|0059-003|8|6,;,0,AuxK,;,u--------,,,,,,1: ,,,
8,7,Leuven|0059-003|8|7,[0],4,PRED_CO,,,,,,,,,,elliptic,0006e
9,1,Leuven|0059-003|9|1,ἐπιεικῶς,2,ADV,ἐπιεικής,d--------,,کمی,قدری,کمابیش,,"fitting, meet, suitable",,,
9,2,Leuven|0059-003|9|2,πάλαι,4,ADV,πάλαι,d--------,,پیشتر,پیشتر,دیرگاهی,,"1: vroeger, lang geleden",,,
9,3,Leuven|0059-003|9|3,.,0,AuxK,.,u--------,,,,,,1: ,,,
9,4,Leuven|0059-003|9|4,[0],0,PRED,,,,,,,,,,elliptic,0003e
10,1,Leuven|0059-003|10|1,εἶτα,8,ADV,εἶτα,d--------,,پس,پس,پس,,1: vervolgens,,,
10,2,Leuven|0059-003|10|2,πῶς,5,ADV,πῶς,d--------,,چرا,چرا,چطور,,1: hoe?,,,
10,3,Leuven|0059-003|10|3,οὐκ,5,AuxZ,οὐ,d--------,,بیدارم نکردی,بیدار نکردی,بیدار نکردی,,1: niet,,,
10,4,Leuven|0059-003|10|4,εὐθὺς,5,ADV,εὐθύς,d--------,,فورا,بی‌درنگ,فورا,,1: recht,,,
10,5,Leuven|0059-003|10|5,ἐπήγειράς,8,PRED_CO,ἐπεγείρω,v2saia---,,بیدارم نکردی,بیدار نکردی,بیدار نکردی,,"awaken, rouse up",,,
10,6,Leuven|0059-003|10|6,με,5,OBJ,ἐγώ,p1s---ca-,,بیدارم نکردی,مرا,مرا,,1: ik,,,
10,7,Leuven|0059-003|10|7,",",0,AuxX,",",u--------,,,,,,1: ,,,
10,8,Leuven|0059-003|10|8,ἀλλὰ,0,COORD,ἀλλά,b--------,,در عوض,بلکه,عوضِ آن‌که,,1: maar,,,
10,9,Leuven|0059-003|10|9,σιγῇ,10,ADV,σιγή,n-s---fd-,,خاموش,خاموش,در سکوت,,silence,wijze,,
10,10,Leuven|0059-003|10|10,παρακάθησαι,8,PRED_CO,παρακάθημαι,v2spie---,,کنارم نشستی,در کنارم نشستی,کناری بنشینی,,to be seated beside or near,,,
10,11,Leuven|0059-003|10|11,;,0,AuxK,;,u--------,,,,,,1: ,,,
11,1,Leuven|0059-003|11|1,οὐ,12,AuxZ,οὐ,d--------,, نه, نه, نه,,1: niet,,,
11,2,Leuven|0059-003|11|2,μὰ,21,AuxP,μά,d--------,,سوگند به زئوس, به زئوس,به زئوس قسم,,1: bij,,,
11,3,Leuven|0059-003|11|3,τὸν,4,ATR,ὁ,l-s---ma-,,سوگند به زئوس, به زئوس,به زئوس قسم,,1: ,,,
11,4,Leuven|0059-003|11|4,Δία,2,ExD,Ζεύς,n-s---ma-,,سوگند به زئوس, به زئوس,به زئوس قسم,,,,,
11,5,Leuven|0059-003|11|5,",",0,AuxX,",",u--------,,,,,,1: ,,,
11,6,Leuven|0059-003|11|6,ὦ,7,AuxZ,ὦ,i--------,,ای ,ای ,ای ,,1: (blijft onvertaald),,,
11,7,Leuven|0059-003|11|7,Σώκρατες,21,ExD,Σωκράτης,n-s---mv-,,سقراط,سقراط,سقراط,,,,,
11,8,Leuven|0059-003|11|8,",",0,AuxX,",",u--------,,,,,,1: ,,,
11,9,Leuven|0059-003|11|9,οὐδ’,12,AuxZ,οὐδέ,d--------,,نمی‌خواستم,نمی‌خواستم,نمی‌خواستم,,"1: en niet, zelfs niet, en ook niet",,,
11,10,Leuven|0059-003|11|10,ἂν,12,AuxY,ἄν,d--------,,نمی‌خواستم,نمی‌خواستم,نمی‌خواستم,,1: ,,,
11,11,Leuven|0059-003|11|11,αὐτὸς,12,ADV,αὐτός,p-s---mn-,,خود,خود,خودِ من,,"1: zelf | (in afhankelijke naamvallen) hem, haar, hen",,,
11,12,Leuven|0059-003|11|12,ἤθελον,21,PRED_CO,ἐθέλω,v1siia---,,نمی‌خواستم,نمی‌خواستم,نمی‌خواستم,,1: willen,,,
11,13,Leuven|0059-003|11|13,ἐν,19,AuxP,ἐν,r--------,,در,در,در,,"1: in, binnenin, temidden van",,,
11,14,Leuven|0059-003|11|14,τοσαύτῃ,17,ATR,τοσοῦτος,p-s---fd-,,چنین,چنین,این چنین,,1: zo groot,,,
11,15,Leuven|0059-003|11|15,τε,17,AuxY,τε,c--------,,,,,,1: en,,,
11,16,Leuven|0059-003|11|16,ἀγρυπνίᾳ,17,PNOM_CO,ἀγρυπνία,n-s---fd-,,بی‌خوابی,بی‌خوابی,بی‌خوابی,,"sleeplessness, wakefulness",,,
11,17,Leuven|0059-003|11|17,καὶ,13,COORD,καί,b--------,,و,و,و,,"1: en | ook, zelfs",,,
11,18,Leuven|0059-003|11|18,λύπῃ,17,PNOM_CO,λύπη,n-s---fd-,,رنجی,رنجی را,رنجی,,pain of body,,,
11,19,Leuven|0059-003|11|19,εἶναι,12,OBJ,εἰμί,v--pna---,,باشم,بودن,باشم,,1: gaan,,,
11,20,Leuven|0059-003|11|20,",",0,AuxX,",",u--------,,,,,,1: ,,,
11,21,Leuven|0059-003|11|21,ἀλλὰ,0,COORD,ἀλλά,b--------,,از این گذشته,لیک,دیگر اینکه,,1: maar,,,
11,22,Leuven|0059-003|11|22,καὶ,25,AuxZ,καί,b--------,,و,نیز,و,,"1: en | ook, zelfs",,,
11,23,Leuven|0059-003|11|23,σοῦ,25,OBJ,σύ,p2s---cg-,,تو,تو,بر تو,,"1: jij, u",,,
11,24,Leuven|0059-003|11|24,πάλαι,25,ADV,πάλαι,d--------,,دیربازی‌ست,چندی,دیر زمانی‌ست,,"1: vroeger, lang geleden",,,
11,25,Leuven|0059-003|11|25,θαυμάζω,21,PRED_CO,θαυμάζω,v1spia---,,محو هستم,در شگفتم,در شگفتم,,"wonder, marvel",,,
11,26,Leuven|0059-003|11|26,αἰσθανόμενος,25,ADV,αἰσθάνομαι,v-sppemn-,,تماشای,از دیدن,نگریسته,,"1: (zintuiglijk) gewaarworden, waarnemen | (verstandelijk) vernemen, kennen",tijd,,
11,27,Leuven|0059-003|11|27,ὡς,26,AuxC,ὡς,c--------,,که چگونه,که چه,که چه سان,,"1: zoals, zodra, omdat, opdat, zodat  | dat",,,
11,28,Leuven|0059-003|11|28,ἡδέως,29,ADV,ἡδύς,d--------,,آرام,آسوده,آسوده,,"1: zoet, aangenaam",,,
11,29,Leuven|0059-003|11|29,καθεύδεις,27,OBJ,καθεύδω,v2spia---,,خفته‌ای,می‌خوابی,خفته‌ای,,"lie down to sleep, sleep",,,
11,30,Leuven|0059-003|11|30,·,0,AuxK,·,u--------,,,,,,1: ,,,
12,1,Leuven|0059-003|12|1,καὶ,5,AuxY,καί,b--------,,و,و,و,,"1: en | ook, zelfs",,,
12,2,Leuven|0059-003|12|2,ἐπίτηδές,5,ADV,ἐπίτηδες,d--------,,عمداً,عمداً,به عمد,,"4: zorgvuldig, overwogen | met opzet, arglistig",,,
12,3,Leuven|0059-003|12|3,σε,5,OBJ,σύ,p2s---ca-,,بیدارت نکردم,تو را,بیدارت نکردم,,"1: jij, u",,,
12,4,Leuven|0059-003|12|4,οὐκ,5,AuxZ,οὐ,d--------,,بیدارت نکردم,بیدار نکردم,بیدارت نکردم,,1: niet,,,
12,5,Leuven|0059-003|12|5,ἤγειρον,0,PRED,ἐγείρω,v1siia---,,بیدارت نکردم,بیدار نکردم,بیدارت نکردم,,"awaken, rouse",,,
12,6,Leuven|0059-003|12|6,ἵνα,5,AuxC,ἵνα,c--------,,تا,تا,تا,,"1: opdat, om...te",,,
12,7,Leuven|0059-003|12|7,ὡς,8,AuxZ,ὡς,d--------,,چندی را,این چنین,,,"1: zoals, zodra, omdat, opdat, zodat  | dat",,,
12,8,Leuven|0059-003|12|8,ἥδιστα,9,ADV,ἡδύς,d-------s,,به‌خوشی,در آسوده‌ترین حالت,به بهترین حالت,,"1: zoet, aangenaam",,,
12,9,Leuven|0059-003|12|9,διάγῃς,6,ADV,διάγω,v2spsa---,,سپری کنی,سپری کنی,بگذرانی,,carry over or across,doel,,
12,10,Leuven|0059-003|12|10,.,0,AuxK,.,u--------,,,,,,1: ,,,
13,1,Leuven|0059-003|13|1,καὶ,17,AuxY,καί,b--------,,,و,و,,"1: en | ook, zelfs",,,
13,2,Leuven|0059-003|13|2,πολλάκις,17,ADV,πολλάκις,d--------,,اغلب,اغلب,بارها,,1: dikwijls,,,
13,3,Leuven|0059-003|13|3,μὲν,17,AuxY,μέν,d--------,,,,,,1: wel...,,,
13,4,Leuven|0059-003|13|4,δή,17,AuxY,δή,d--------,,,به راستی,,,"1: al, reeds | dus, dan toch",,,
13,5,Leuven|0059-003|13|5,σε,17,OBJ,σύ,p2s---ca-,,تو را,تو را,تو را,,"1: jij, u",,,
13,6,Leuven|0059-003|13|6,καὶ,7,AuxZ,καί,b--------,,,نیز,نیز,,"1: en | ook, zelfs",,,
13,7,Leuven|0059-003|13|7,πρότερον,12,ADV,πρῶτος,d-------c,,تا کنون  ,پیشتر,,,1: eerste,,,
13,8,Leuven|0059-003|13|8,ἐν,12,AuxP,ἐν,r--------,,در,در,در,,"1: in, binnenin, temidden van",,,
13,9,Leuven|0059-003|13|9,παντὶ,11,ATR,πᾶς,a-s---md-,,طول,سراسر,تمام,,1: geheel | elk | alle,,,
13,10,Leuven|0059-003|13|10,τῷ,11,ATR,ὁ,l-s---md-,,زندگانی‌ات,,,,1: ,,,
13,11,Leuven|0059-003|13|11,βίῳ,8,ADV,βίος,n-s---md-,,زندگانی‌ات,زندگی‌,زندگی‌,,"1: leven, levenswijze | levensonderhoud",tijdsbestek,,
13,12,Leuven|0059-003|13|12,ηὐδαιμόνισα,17,PRED_CO,εὐδαιμονίζω,v1saia---,Gen3.,سعادتمند قلمداد کرده‌ام,نیکبخت می‌پنداشتم,شادمان می‌دانستم,,call or account happy,,,
13,13,Leuven|0059-003|13|13,τοῦ,14,ATR,ὁ,l-s---mg-,, منش‌ات,منش‌ات,مسلک‌ات,,1: ,,,
13,14,Leuven|0059-003|13|14,τρόπου,17,OBJ,τρόπος,n-s---mg-,Gen17.,به دلیل منش‌ات,بهر منش‌ات,بهر مسلک‌ات,,"1: manier, wending | karakter",oorzaak,,
13,15,Leuven|0059-003|13|15,",",0,AuxX,",",u--------,,,,,,1: ,,,
13,16,Leuven|0059-003|13|16,πολὺ,18,ADV,πολύς,a-s---na-,,بیش از پیش,بیشتر, بیشتر,,1: talrijk,graad,,
13,17,Leuven|0059-003|13|17,δὲ,0,COORD,δέ,d--------,,و,اما,و حال,,"1: en, echter (leidt een tegenstelling of een verbinding in, blijft vaak onvertaald)",,,
13,18,Leuven|0059-003|13|18,μάλιστα,32,ADV,μάλα,d-------s,,بیش از پیش,بسی,بسی,,"1: zeer, veel",,,
13,19,Leuven|0059-003|13|19,ἐν,32,AuxP,ἐν,r--------,,,در ,در ,,"1: in, binnenin, temidden van",,,
13,20,Leuven|0059-003|13|20,τῇ,23,ATR,ὁ,l-s---fd-,,این,این,این,,1: ,,,
13,21,Leuven|0059-003|13|21,νῦν,22,ADV,νῦν,d--------,,اکنون,اکنون,اخیر,,1: nu,,,
13,22,Leuven|0059-003|13|22,παρεστώσῃ,23,ATR,παρίστημι,v-srpafd-,,کنونی,پیش‌آمده,واردشده‌ی,,1: doen staan naast | veroorzaken; leveren; bewijzen,,,
13,23,Leuven|0059-003|13|23,συμφορᾷ,19,ADV,συμφορά,n-s---fd-,,بداقبالی را,تیره‌بختی,مصیبتِ,,"1: gebeurtenis, ongeluk",betrekking,,
13,24,Leuven|0059-003|13|24,",",0,AuxX,",",u--------,,,,,,1: ,,,
13,25,Leuven|0059-003|13|25,ὡς,32,AuxC,ὡς,c--------,,چه ,که چنین,که بدین سان ,,"1: zoals, zodra, omdat, opdat, zodat  | dat",,,
13,26,Leuven|0059-003|13|26,ῥᾳδίως,28,ADV_CO,ῥᾴδιος,d--------,,سهل, به آسودگی,سهل,,1: gemakkelijk,,,
13,27,Leuven|0059-003|13|27,αὐτὴν,30,OBJ,αὐτός,p-s---fa-,,,آن را,تحملش,,"1: zelf | (in afhankelijke naamvallen) hem, haar, hen",,,
13,28,Leuven|0059-003|13|28,καὶ,30,COORD,καί,b--------,,و,و,و,,"1: en | ook, zelfs",,,
13,29,Leuven|0059-003|13|29,πρᾴως,28,ADV_CO,πρᾶος,d--------,, آرام,سبکبالی, آرام,,Gött. Nachr.,,,
13,30,Leuven|0059-003|13|30,φέρεις,25,ADV,φέρω,v2spia---,,متحمل شده‌ای,تاب می‌آوری,تحملش می‌کنی,,1: (ver)dragen,wijze,,
13,31,Leuven|0059-003|13|31,.,0,AuxK,.,u--------,,,,,,1: ,,,
13,32,|0059-003|13|32,[0],17,PRED_CO,,,,,,,,,,elliptic,0018e
14,1,Leuven|0059-003|14|1,καὶ,9,AuxY,καί,b--------,,,,,,"1: en | ook, zelfs",,,
14,2,Leuven|0059-003|14|2,γὰρ,9,AuxY,γάρ,d--------,,باری ,به همین دلیل,,,"1: want, immers, namelijk | (in levendige vragen) toch, dan?",,,
14,3,Leuven|0059-003|14|3,ἄν,9,AuxY,ἄν,d--------,,خواهد بود,باشد,خواهد بود,,1: ,,,
14,4,Leuven|0059-003|14|4,",",0,AuxX,",",u--------,,,,,,1: ,,,
14,5,Leuven|0059-003|14|5,ὦ,6,AuxZ,ὦ,i--------,,ای,ای,ای,,1: (blijft onvertaald),,,
14,6,Leuven|0059-003|14|6,Κρίτων,9,ExD,Κρίτων,n-s---mv-,,کریتون,کریتون,کریتون,,,,,
14,7,Leuven|0059-003|14|7,",",0,AuxX,",",u--------,,,,,,1: ,,,
14,8,Leuven|0059-003|14|8,πλημμελὲς,9,PNOM,πλημμελής,a-s---nn-,,ناشایست,نابسزا,شرم‌آور,,out of tune,,,
14,9,Leuven|0059-003|14|9,εἴη,0,PRED,εἰμί,v3spoa---,,خواهد بود,باشد,خواهد بود,,1: gaan,,,
14,10,Leuven|0059-003|14|10,ἀγανακτεῖν,9,SBJ,ἀγανακτέω,v--pna---,,برآشفتگی,آشفته,مشوش,,feel a violent irritation,,,
14,11,Leuven|0059-003|14|11,τηλικοῦτον,12,PNOM,τηλικοῦτος,a-s---ma-,,در سن و سال من,در این سن,در این سن و سال,,"1: zo oud, zo groot",,,
14,12,Leuven|0059-003|14|12,ὄντα,10,ADV,εἰμί,v-sppama-,,,شدن,شوم,,1: gaan,tijd,,
14,13,Leuven|0059-003|14|13,εἰ,10,AuxC,εἰ,c--------,,اگر,اگر,اگر,,"1: als, indien, in geval | of",,,
14,14,Leuven|0059-003|14|14,δεῖ,13,ADV,δέω,v3spia---,,بایستی,می‌بایست,باید,,1: ,voorwaarde,,
14,15,Leuven|0059-003|14|15,ἤδη,16,ADV,ἤδη,d--------,,اکنون,حال,اکنون,,"1: reeds, al | vanaf nu",,,
14,16,Leuven|0059-003|14|16,τελευτᾶν,14,SBJ,τελευτάω,v--pna---,,بمیرم,به فرجامِ عمر رسیدن,بمیرم,,"bring to pass, accomplish",,,
14,17,Leuven|0059-003|14|17,.,0,AuxK,.,u--------,,,,,,1: ,,,
15,1,Leuven|0059-003|15|1,καὶ,2,AuxZ,καί,b--------,,هم,نیز,و نیز,,"1: en | ook, zelfs",,,
15,2,Leuven|0059-003|15|2,ἄλλοι,11,SBJ,ἄλλος,p-p---mn-,,دیگرانی,دیگر,افراد دیگری,,1: ander,,,
15,3,Leuven|0059-003|15|3,",",0,AuxX,",",u--------,,,,,,1: ,,,
15,4,Leuven|0059-003|15|4,ὦ,5,AuxZ,ὦ,i--------,,ای,ای,ای,,1: (blijft onvertaald),,,
15,5,Leuven|0059-003|15|5,Σώκρατες,13,ExD,Σωκράτης,n-s---mv-,,سقراط,سقراط,سقراط,,,,,
15,6,Leuven|0059-003|15|6,",",0,AuxX,",",u--------,,,,,,1: ,,,
15,7,Leuven|0059-003|15|7,τηλικοῦτοι,2,ATR,τηλικοῦτος,a-p---mn-,,در این سن,سالخوردگانی,با همین سن,,"1: zo oud, zo groot",,,
15,8,Leuven|0059-003|15|8,ἐν,11,AuxP,ἐν,r--------,,به ,به,در,,"1: in, binnenin, temidden van",,,
15,9,Leuven|0059-003|15|9,τοιαύταις,10,ATR,τοιοῦτος,p-p---fd-,,چنین ,چنین,این چنین,,"1: zulke, zo´n, van die aard",,,
15,10,Leuven|0059-003|15|10,συμφοραῖς,8,ADV,συμφορά,n-p---fd-,,بداقبالی‌هایی,تیره‌بختی‌هایی,مصیبت‌هایی,,"1: gebeurtenis, ongeluk",betrekking,,
15,11,Leuven|0059-003|15|11,ἁλίσκονται,13,PRED_CO,ἁλίσκομαι,v3ppie---,,دچار می‌گردند,گرفتار می‌شوند,گرفتار آمده‌اند,,"1: gevat worden, veroverd worden | betrapt worden, veroordeeld worden",,,
15,12,Leuven|0059-003|15|12,",",0,AuxX,",",u--------,,,,,,1: ,,,
15,13,Leuven|0059-003|15|13,ἀλλ’,0,COORD,ἀλλά,b--------,,با این حال,لیکن,ولی,,1: maar,,,
15,14,Leuven|0059-003|15|14,οὐδὲν,16,ADV,οὐδείς,p-s---na-,,به هیچ روی,هیچکدام‌‌شان را ,ابداً,,"1: niemand, niets",graad,,
15,15,Leuven|0059-003|15|15,αὐτοὺς,16,OBJ,αὐτός,p-p---ma-,,آنان را,هیچکدام‌‌شان را ,آنها را,,"1: zelf | (in afhankelijke naamvallen) hem, haar, hen",,,
15,16,Leuven|0059-003|15|16,ἐπιλύεται,13,PRED_CO,ἐπιλύω,v3spie---,,نرهانیده است,نمی‌رهاند,بازنمی‌دارد,,"loose, untie",,,
15,17,Leuven|0059-003|15|17,ἡ,18,ATR,ὁ,l-s---fn-,,,,,,1: ,,,
15,18,Leuven|0059-003|15|18,ἡλικία,16,SBJ,ἡλικία,n-s---fn-,,سن‌,سن‌,سن‌ و‌ سال,,"time of life, age",,,
15,19,Leuven|0059-003|15|19,τὸ,22,ATR,ὁ,l-s---na-,Art2.,برآشفتگی,از آشفته شدن,از مشوش شدن,,1: ,,,
15,20,Leuven|0059-003|15|20,μὴ,22,AuxZ,μή,d--------,Smyth 2739,نرهانیده است,نمی‌رهاند,بازنمی‌دارد,,1: niet,,,
15,21,Leuven|0059-003|15|21,οὐχὶ,22,AuxZ,οὐ,d--------,,نرهانیده است,نمی‌رهاند,بازنمی‌دارد,,1: niet,,,
15,22,Leuven|0059-003|15|22,ἀγανακτεῖν,16,OBJ,ἀγανακτέω,v--pna---,Inf5.,از برآشفتگی,از آشفته شدن,از مشوش شدن,,feel a violent irritation,,,
15,23,Leuven|0059-003|15|23,τῇ,25,ATR,ὁ,l-s---fd-,Art7.,خویش,پیش‌آمده‌شان,,,1: ,,,
15,24,Leuven|0059-003|15|24,παρούσῃ,25,ATR,πάρειμι,v-sppafd-,,به نزد ,پیش‌آمده‌شان,در محضر,,1: aanwezig zijn,,,
